geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
GM1740,TRUE,FALSE,TRUE,FALSE,TRUE
GM1742,TRUE,FALSE,TRUE,FALSE,TRUE
GM1771,TRUE,FALSE,TRUE,FALSE,TRUE
GM1773,TRUE,FALSE,TRUE,FALSE,TRUE
GM1774,TRUE,FALSE,TRUE,FALSE,TRUE
GM1783,TRUE,FALSE,TRUE,FALSE,TRUE
GM1842,TRUE,FALSE,TRUE,FALSE,TRUE
GM1859,TRUE,FALSE,TRUE,FALSE,TRUE
GM1876,TRUE,FALSE,TRUE,FALSE,TRUE
GM1883,TRUE,FALSE,TRUE,FALSE,TRUE
GM1884,TRUE,FALSE,TRUE,FALSE,TRUE
GM1891,TRUE,FALSE,TRUE,FALSE,TRUE
GM1892,TRUE,FALSE,TRUE,FALSE,TRUE
GM1894,TRUE,FALSE,TRUE,FALSE,TRUE
GM1895,TRUE,FALSE,TRUE,FALSE,TRUE
GM1896,TRUE,FALSE,TRUE,FALSE,TRUE
GM1900,TRUE,FALSE,TRUE,FALSE,TRUE
GM1901,TRUE,FALSE,TRUE,FALSE,TRUE
GM1903,TRUE,FALSE,TRUE,FALSE,TRUE
GM1904,TRUE,FALSE,TRUE,FALSE,TRUE
GM1911,TRUE,FALSE,TRUE,FALSE,TRUE
GM1916,TRUE,FALSE,TRUE,FALSE,TRUE
GM1924,TRUE,FALSE,TRUE,FALSE,TRUE
GM1926,TRUE,FALSE,TRUE,FALSE,TRUE
GM1930,TRUE,FALSE,TRUE,FALSE,TRUE
GM1931,TRUE,FALSE,TRUE,FALSE,TRUE
GM1940,TRUE,FALSE,TRUE,FALSE,TRUE
GM1942,TRUE,FALSE,TRUE,FALSE,TRUE
GM1945,TRUE,FALSE,TRUE,FALSE,TRUE
GM1948,TRUE,FALSE,TRUE,FALSE,TRUE
GM1949,TRUE,FALSE,TRUE,FALSE,TRUE
GM1950,TRUE,FALSE,TRUE,FALSE,TRUE
GM1952,TRUE,FALSE,TRUE,FALSE,TRUE
GM1954,TRUE,FALSE,TRUE,FALSE,TRUE
GM1955,TRUE,FALSE,TRUE,FALSE,TRUE
GM1959,TRUE,FALSE,TRUE,FALSE,TRUE
GM1960,TRUE,FALSE,TRUE,FALSE,TRUE
GM1961,TRUE,FALSE,TRUE,FALSE,TRUE
GM1963,TRUE,FALSE,TRUE,FALSE,TRUE
GM1966,TRUE,FALSE,TRUE,FALSE,TRUE
GM1969,TRUE,FALSE,TRUE,FALSE,TRUE
GM1970,TRUE,FALSE,TRUE,FALSE,TRUE
GM1978,TRUE,FALSE,TRUE,FALSE,TRUE
